drug_id,drug_name,target_id,target_name,drkg_drug_key,drkg_target_key,drug_node_idx,target_node_idx,score,source,score_esm2,score_drkg
DB01264,Darunavir,CHEMBL205,Carbonic anhydrase 2,Compound::DB01264,Gene::760,382,1989,0.9075597921320657,both,0.9052555338360692,0.9098640504280624
DB00355,Aztreonam,CHEMBL205,Carbonic anhydrase 2,Compound::DB00355,Gene::760,9815,1989,0.9068615654896814,both,0.9059148632680456,0.9078082677113174
DB12095,Telotristat ethyl,CHEMBL1908389,Mitogen-activated protein kinase kinase kinase 12,Compound::DB12095,Gene::7786,3338,3956,0.906763566407213,both,0.9063567491546968,0.9071703836597292
DB06590,Ceftaroline fosamil,CHEMBL205,Carbonic anhydrase 2,Compound::DB06590,Gene::760,11001,1989,0.906697980570948,both,0.9008571246236188,0.9125388365182772
DB01263,Posaconazole,CHEMBL205,Carbonic anhydrase 2,Compound::DB01263,Gene::760,3948,1989,0.9066196592635962,both,0.901289551305437,0.9119497672217556
DB06249,Arzoxifene,CHEMBL264,Histamine H3 receptor,Compound::DB06249,Gene::57538,1050,24087,0.9063944599722402,both,0.9060399475845606,0.9067489723599198
DB14631,Prednisolone phosphate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14631,Gene::2908,11807,293,0.9063742407337418,both,0.905935363925408,0.9068131175420756
DB00685,Trovafloxacin,CHEMBL2034,Glucocorticoid receptor,Compound::DB00685,Gene::2908,10466,293,0.9063644048504764,both,0.9043489683034726,0.9083798413974802
DB00673,Aprepitant,CHEMBL2034,Glucocorticoid receptor,Compound::DB00673,Gene::2908,835,293,0.9060340564939002,both,0.9034111425110616,0.9086569704767388
DB00563,Methotrexate,CHEMBL205,Carbonic anhydrase 2,Compound::DB00563,Gene::760,6413,1989,0.9058822075020949,both,0.9064455197641154,0.9053188952400746
DB01047,Fluocinonide,CHEMBL2034,Glucocorticoid receptor,Compound::DB01047,Gene::2908,5367,293,0.9057692675578803,both,0.9105456175509662,0.9009929175647944
DB00769,Hydrocortamate,CHEMBL2034,Glucocorticoid receptor,Compound::DB00769,Gene::2908,4900,293,0.9053594526743027,both,0.9039528610024238,0.9067660443461816
DB14583,Segesterone acetate,CHEMBL2034,Glucocorticoid receptor,Compound::DB14583,Gene::2908,12132,293,0.9047374378658313,both,0.9086627595865148,0.9008121161451478
DB08934,Sofosbuvir,CHEMBL205,Carbonic anhydrase 2,Compound::DB08934,Gene::760,226,1989,0.9044089384429062,both,0.906712708787798,0.9021051680980142
DB11613,Velpatasvir,CHEMBL205,Carbonic anhydrase 2,Compound::DB11613,Gene::760,9912,1989,0.9041781789189539,both,0.9003492984077822,0.9080070594301256
DB12941,Darolutamide,CHEMBL205,Carbonic anhydrase 2,Compound::DB12941,Gene::760,11836,1989,0.9039715310258404,both,0.9017979870094064,0.9061450750422744
DB11718,Encorafenib,CHEMBL2034,Glucocorticoid receptor,Compound::DB11718,Gene::2908,4058,293,0.9037200625869419,both,0.900206956790968,0.907233168382916
DB00932,Tipranavir,CHEMBL205,Carbonic anhydrase 2,Compound::DB00932,Gene::760,451,1989,0.903580290696059,both,0.9001908437943702,0.906969737597748
DB00952,Naratriptan,CHEMBL3535,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",Compound::DB00952,Gene::5152,3982,1843,0.9027735826748706,both,0.9004571892573354,0.9050899760924058
